Time (rel/ms),Date,Time,Type,No.,Phase,Day,duration,System,Channel,F,Fm,PAR,Y(II),ETR
269095140,2022-03-23T23:00:00Z,1899-12-31T14:45:55Z,FO,225,stress,1,1,,,114,114,0,0.000,0.0
269101300,2022-03-23T23:00:00Z,1899-12-31T14:46:01Z,FO,226,stress,1,1,,,8,9,0,-,-
269111960,2022-03-23T23:00:00Z,1899-12-31T14:46:11Z,FO,227,stress,1,1,AMV,C33,412,908,0,0.546,0.0
269118920,2022-03-23T23:00:00Z,1899-12-31T14:46:18Z,FO,228,stress,1,1,AMV,C33,717,1457,0,0.508,0.0
269125180,2022-03-23T23:00:00Z,1899-12-31T14:46:25Z,FO,229,stress,1,1,AMV,C33,391,530,0,0.262,0.0
269135460,2022-03-23T23:00:00Z,1899-12-31T14:46:35Z,FO,230,stress,1,1,AMV,C33,321,860,0,0.627,0.0
269140460,2022-03-23T23:00:00Z,1899-12-31T14:46:40Z,FO,231,stress,1,1,,,291,291,0,0.000,0.0
269148940,2022-03-23T23:00:00Z,1899-12-31T14:46:48Z,FO,232,stress,1,1,AMV,C34,409,1106,0,0.630,0.0
269158120,2022-03-23T23:00:00Z,1899-12-31T14:46:58Z,FO,233,stress,1,1,AMV,C34,168,464,0,0.638,0.0
269165220,2022-03-23T23:00:00Z,1899-12-31T14:47:05Z,FO,234,stress,1,1,AMV,C34,156,494,0,0.684,0.0
269172440,2022-03-23T23:00:00Z,1899-12-31T14:47:12Z,FO,235,stress,1,1,AMV,C34,367,694,0,0.471,0.0
269177300,2022-03-23T23:00:00Z,1899-12-31T14:47:17Z,FO,236,stress,1,1,,,313,313,0,0.000,0.0
269187880,2022-03-23T23:00:00Z,1899-12-31T14:47:27Z,FO,237,stress,1,1,AMV,C35,355,732,0,0.515,0.0
269197820,2022-03-23T23:00:00Z,1899-12-31T14:47:37Z,FO,238,stress,1,1,AMV,C35,338,704,0,0.520,0.0
269205400,2022-03-23T23:00:00Z,1899-12-31T14:47:45Z,FO,239,stress,1,1,AMV,C35,451,1076,0,0.581,0.0
269213220,2022-03-23T23:00:00Z,1899-12-31T14:47:53Z,FO,240,stress,1,1,AMV,C35,251,549,0,0.543,0.0
269218300,2022-03-23T23:00:00Z,1899-12-31T14:47:58Z,FO,241,stress,1,1,,,177,177,0,0.000,0.0
269227800,2022-03-23T23:00:00Z,1899-12-31T14:48:07Z,FO,242,stress,1,1,AMV,C36,371,759,0,0.511,0.0
269235240,2022-03-23T23:00:00Z,1899-12-31T14:48:15Z,FO,243,stress,1,1,AMV,C36,437,919,0,0.524,0.0
269246920,2022-03-23T23:00:00Z,1899-12-31T14:48:26Z,FO,244,stress,1,1,AMV,C36,53,183,0,0.710,0.0
269254280,2022-03-23T23:00:00Z,1899-12-31T14:48:34Z,FO,245,stress,1,1,AMV,C36,373,660,0,0.435,0.0
269273220,2022-03-23T23:00:00Z,1899-12-31T14:48:53Z,FO,246,stress,1,1,AMV,C37,385,945,0,0.593,0.0
269279280,2022-03-23T23:00:00Z,1899-12-31T14:48:59Z,FO,247,stress,1,1,AMV,C37,389,908,0,0.572,0.0
269285980,2022-03-23T23:00:00Z,1899-12-31T14:49:05Z,FO,248,stress,1,1,AMV,C37,140,356,0,0.607,0.0
269293800,2022-03-23T23:00:00Z,1899-12-31T14:49:13Z,FO,249,stress,1,1,AMV,C37,500,1056,0,0.527,0.0
269299900,2022-03-23T23:00:00Z,1899-12-31T14:49:19Z,FO,250,stress,1,1,,,216,216,0,0.000,0.0
269309380,2022-03-23T23:00:00Z,1899-12-31T14:49:29Z,FO,251,stress,1,1,AMV,C38,373,869,0,0.571,0.0
269316340,2022-03-23T23:00:00Z,1899-12-31T14:49:36Z,FO,252,stress,1,1,AMV,C38,424,1120,0,0.621,0.0
269323060,2022-03-23T23:00:00Z,1899-12-31T14:49:43Z,FO,253,stress,1,1,AMV,C38,443,940,0,0.529,0.0
269332220,2022-03-23T23:00:00Z,1899-12-31T14:49:52Z,FO,254,stress,1,1,AMV,C38,548,1030,0,0.468,0.0
269336880,2022-03-23T23:00:00Z,1899-12-31T14:49:56Z,FO,255,stress,1,1,,,489,489,0,0.000,0.0
